,trainEpochLoss,valEpochLoss,trainEpochAccuracy,valEpochAccuracy
0,0.022617023351799156,2.8159596970707748,0.1245,0.149
1,0.021660695853383448,2.732872221886834,0.173025,0.1783
2,0.021143919831230325,2.692038646032397,0.194875,0.192
3,0.02083480730236916,2.664472842450032,0.208675,0.2011
4,0.020592978337625127,2.64332476885244,0.217075,0.2082
5,0.02038417201701539,2.6261321487873577,0.22555,0.2156
6,0.0201963286454592,2.6118124231653446,0.233325,0.2192
7,0.02002413770584116,2.5997543919988746,0.2409,0.2236
8,0.019863884658657745,2.589465852094162,0.246325,0.2273
9,0.019712291353141082,2.580562341632179,0.25215,0.2295
10,0.01956664884921367,2.5727668879830983,0.258375,0.2317
11,0.019424887605255074,2.565878316578583,0.2651,0.2352
12,0.01928550342773256,2.5597503929614582,0.27015,0.2372
13,0.019147457916492992,2.554280120927466,0.27565,0.2382
14,0.01901007073368112,2.5493995144506227,0.28095,0.2402
15,0.018872924751211752,2.5450660536146454,0.28595,0.2419
16,0.018735776435239083,2.541250997437975,0.291625,0.2439
17,0.018598480463278718,2.537931962687701,0.2972,0.2458
18,0.018460937969960678,2.5350904138103236,0.30265,0.2462
19,0.018323073692889318,2.532712204683876,0.30855,0.2477
20,0.018184839164247752,2.5307878242820467,0.3136,0.2484
21,0.018046211746411665,2.529310062047785,0.31885,0.2481
22,0.017907183831363253,2.5282720467266238,0.324225,0.2495
23,0.017767760770114684,2.5276676381680563,0.330125,0.2507
24,0.01762796619314102,2.527492566073725,0.33535,0.2519
25,0.01748784358846391,2.5277446378973476,0.34075,0.2535
26,0.017347451842130907,2.528422411999521,0.3466,0.2561
27,0.017206858978664235,2.529523323227259,0.3522,0.2562
28,0.017066137213388625,2.5310425229467914,0.358025,0.2562
29,0.016925359388227618,2.5329725607340077,0.3637,0.2559
30,0.016784596308675674,2.5353036140862337,0.368975,0.2556
31,0.01664391500316627,2.538024063047226,0.37435,0.2553
32,0.01650337767610173,2.5411211605797748,0.379625,0.2549
33,0.01636304077860211,2.5445815989287413,0.385,0.2549
