,trainEpochLoss,valEpochLoss,trainEpochAccuracy,valEpochAccuracy
0,0.02054006847604813,2.47949631924964,0.198275,0.2363
1,0.019006064925124595,2.428544346725471,0.25855,0.2594
2,0.01830802711235309,2.4102832295366845,0.28635,0.267
3,0.01781062302913302,2.414928551731433,0.3061,0.2681
4,0.01741417384373874,2.4231625208572827,0.322425,0.2711
5,0.01707582756589133,2.4394401833046357,0.335125,0.2704
6,0.01680474982634573,2.4473684645890597,0.346725,0.2697
7,0.016569885086074952,2.464463013028329,0.35405,0.272
8,0.01636785752782543,2.477032815291111,0.363075,0.2708
9,0.01619265415946198,2.48740356904395,0.369775,0.2703
10,0.016056931058302602,2.4925038534121,0.3751,0.2743
11,0.015931085710278337,2.503247939410566,0.3808,0.2727
12,0.01582230416210559,2.5098353611707753,0.385075,0.2727
13,0.01570672290323668,2.519844415363602,0.389575,0.2707
14,0.01563716900038525,2.5211360664639484,0.39325,0.2704
15,0.015564296814697138,2.5186578271514275,0.3974,0.2721
16,0.015478210568009952,2.5203752731226996,0.398875,0.2734
17,0.015409663244301592,2.5245332349859635,0.403225,0.2719
18,0.015361714793885766,2.5289909470596696,0.4051,0.2734
19,0.01531653494622544,2.5284511933410134,0.4064,0.2738
20,0.01527925324736259,2.532832809022395,0.406975,0.2756
21,0.015237134421790867,2.529756528747664,0.409725,0.2774
22,0.015209776644413048,2.536277550997819,0.411525,0.2752
23,0.0151704938347786,2.53479767022022,0.411525,0.2747
24,0.015150710378078799,2.5406391369788928,0.411925,0.2751
25,0.015115876128050064,2.5350228314834027,0.415325,0.2768
26,0.015099309382666149,2.5421960986295207,0.4154,0.275
27,0.015083802955139194,2.548164432972614,0.416125,0.2734
28,0.015056430002345186,2.5462575949246307,0.41625,0.2762
29,0.01503565007865816,2.55298459886392,0.417075,0.2709
30,0.01500078820570497,2.547668035669692,0.418775,0.2712
31,0.014986017319595016,2.549594883790029,0.4193,0.2764
32,0.014965447720205999,2.5556694797338015,0.420025,0.2713
33,0.014953022849752778,2.5513426830101986,0.4205,0.2727
34,0.014942990468906965,2.5532280837198336,0.420825,0.2748
35,0.014932936557630578,2.5571967236098194,0.42075,0.2757
36,0.014916528641820246,2.5489600491867317,0.422225,0.2759
37,0.014889610968029644,2.5566984656711567,0.4234,0.2727
38,0.014875008566213014,2.5638209555646854,0.42385,0.2764
39,0.014871220829788555,2.5607279390707585,0.423175,0.2742
40,0.014851608334951397,2.5611448899315774,0.42365,0.2765
41,0.014861459685578145,2.5680660516717317,0.424225,0.272
42,0.014839301632118577,2.567352516541994,0.4253,0.2758
